,Tweet,Polarity
2409, sindalah thanks for this whilst i'm struggling to make ends meet but i guess its not meant for people like me,N
2410, did the inspiration come to you whilst snorting a line of coke ,N
2411, copp money has no valute trust is it  speaking is not the goal  finance system changing for all humans not for profit winners - the money system has to be rethinking an new writig - new laws and distribute fairly back to start line an think and write ,U
2412, sindalah wait a minute im being told sea levels are rising ,N
2413, but i can just film in front of my green screen that doesnt have any human rights violations,0
2414, sindalah are women allowed,0
2415, sindalah is it air conditioned,0
2416, sindalah looks like an overpopulated flimsy version of tracy island,0
2417," thanks 
hope i get a job in neom city",P
2418, sindalah see you there ,P
2419, can you take care of a problematic journalist for me,0
2420, sindalah when the occulted information gets out the renewable energy within oneself will finally come to fruition then we shall truly understand the meaning of life instead of constantly attempting to live in survival mode,U
2421," sindalah that's a good thing saudi arabia turns to tourism because it has very beautiful landscapes - that need to be preserved

now talking about ccus (carbon capture utilization and sequestration)",U
2422, is ahead of time,P
2423, sindalah tribute to nature by inviting yachts are yall slow,N
2424, sindalah that's racist,N
2425, sindalah interested,P
2426, be aware women it may end up a glass cage,0
2427, sindalah i spent one week in the middle east this year and am now bombarded by ads for new real estate developments in the region replying here probably doesnt help me in reducing ads but geez enough algorithm,U
2428, sindalah if same party rules apply like ibiza and mykonos i may pay a visit or two,U
2429, what if someone wasn't to work there what is the procedure  because this is a mega project it means you need man power also can you please tell me how to start working there,P
2430," you guys need to read smarter novels

what you're building in the desert will be hell not the elitist utopia you imagine ",N
2431, is ne using slave labor,0
2432, sindalah looks gay as hell,0
2433, washington arkive and texas haven,0
2434, is this where all the ruling class go,0
2435, sindalah shithole,N
2436, you guys need any safety/risk emergency management for this project looks interesting,P
2437, god bless you and yours,P
2438," #mohammadmehdikarami would be executed by hanging tomorrow morning 
this is an absolute disgrace 
france must immediately stop the executions of iranian opponents by all means at our disposal
iran's regime is massacring
unun
cnn
unwatch 
nytimes",0
2439, i'm doing a / documentary do y'all have a cg department that can edit all of the saudis out of twin tower footage,0
2440, so the saudi prince went to america he saw the factories the farms and the great enterprises of commerce and then he decided to build hollywood what a tool,0
2441, advertiser blocked number ,N
2442, sindalah perhaps the ordinary people who make the yachts should stop making them,N
2443, sindalah too close to pirates,N
2444, sindalah no driving cars or going over your carbon allowance for the majority but the most luxurious holidays await those with yachts,N
2445," sindalah #elites just keep digging that hole deeper dont they
might as well enjoy the spectacle",N
2446, mmmm  is sure is my next investment for my future dream green energy city to zero co,P
2447, i want to see suits shirts and ties not a bunch of hippies,N
2448, sindalah meanwhile ordinary people are struggling with the cost of heating their homes ,N
2449, sindalah justice for jamal khashoggi,0
2450, sindalah how much is it to buy this island,U
2451, sindalah is it like the rest of the red sea in that those sandy beaches are horrible gravel,N
2452, sindalah where can i sign up and how much money do i send,P
2453, the biggest vanity project everwhen will these arab states with more money than brains learn to put their vast wealth to actual good use like saving the planet from ecological disaster caused by the oil dig from their deserts,N
2454, sindalah if i say something that bin salman doesnt like while on vacation there maybe ill get chopped up and dissolved in acid like jamal kashogi seems like a great vacation spot,0
2455, sindalah looks good,P
2456, sindalah an advertising about a nonsense constructed illusionary world - its enough,N
2457, antibesyachting sindalah if i start saving now i will have the dingy for the yacht by the time im ,P
2458, sindalah could you publish the date and place of the agm for the yachting comnunity some friends were enquiring,U
2459, sindalah what is the average summertime temperature,U
2460, sindalah with your oil output you're gonna more than roast people will need still-suits but hat's off to you and your leaders for being so fcking visionary but fcked your oily product isn't exactly going to help the next generation of children unless you keep it all underground,0
2461, sindalah better yet visit your elderly relatives and make sure they are okay,N
2462, sindalah i cant afford a house in america why the fuck would i go to neom,N
2463, here is the future of real and professional media,P
2464," sindalah keep funding these saudi oil baron vanity projects that make no sense

sacrificing all reputation for an oligarch's cash ",0
2465, sindalah save me a spot for my yacht,P
2466, sindalah it's just a #playgroundbillionaires  instead feed the hungry - house the homeless - mend our broken planet,N
2467, fantasy island,N
2468, nice thinking on doing the same thing in south florida we need too,P
2469, neom seems to be  of advertising these days the saudis want to protect their investment,0
2470, sindalah i assume its legal to stone my wife there if she betrayed me,0
2471, sindalah is underwater golf a thing,N
2472, are bonesaws included in home or an optional extra if annoying neighbours,0
2473, #climateemergency so bad they are building resorts on the water,N
2474, looks beautiful,P
2475, this is the dream comes true project the exhibition and the staff members are outstanding kudos,P
2476, sindalah you are destroying the environment why is this necessary,N
2477, sindalah i thought with climate change islands like this would be under water in  years ,N
2478, nice,P
2479, sindalah somewhere else to fuck up,N
2480, sindalah this would have made a great nature reserve and sanctuary for sea life we dont need this we should be protecting what have not decimating it,N
2481, sindalah with luxury tailored to the most sophisticated tastes club - all over again,N
2482, sindalah looks like a nice place to feed all those starving children #eattherich,0
2483, give me job  production manager operations  key grip  gaffer,P
2484, sindalah personally i'm fuckin stoked for the world's yachting community,P
2485, sindalah they should also create a circle in the nearby sea,U
2486, sindalah now do that dystopian future video,N
2487, sindalah dont worry people  elites only ,N
2488, sindalah please dont distroy de red sea habitat we dont need more fake islands #notoneom,N
2489, sindalah in what sense is living in a homophobic dictatorship a luxury,0
2490, sindalah why is this add being shown to me does the algorithm assume i'm gonna make it,n
2491, i would like to see mega city one completed first,P
2492, sindalah dont support anything from murdery saudi arabia,0
2493, sindalah how to destroy en island,N
2494, filming what,U
2495, if i film a movie at neom that has two guys kissing in it will you chemically castrate them too or are saudi laws somehow suspended for visitors to neom and if so exactly which ones what if i just want to drink a beer after a long day of shooting,0
2496, sindalah is that where triangle of sadness is set,N
2497, great news so wheres my order,U
2498, sindalah well fuc me what are the chances just put my first yacht in for a refurb hired out my second one to pippa middleton and the third one is stuck in a sewage slick in the thames,N
2499, sindalah billions of people cant wait to join ,P
2500, sindalah it is of course a dry country,U
2501, but not stressless or weird is it set among pines,N
2502, sindalah the island of illusions when we see what your artificial islands look like we died laughing  no but seriously you know where this is all going to end like a mirage back to the desert state,N
2503, sindalah a lot of yatch to destroy the biodiversity of the red sea  bloomfr clairenouvian,N
2504, sindalah i was there three years ago and the projects are awesome,P
2505, sindalah i don't have a yacht and most people don't either so what,N
2506, sindalah can i get there by dinghy with  other people,U
2507," i visited the exhibit and i really enjoyed
i wish i will be there in  to live the dream ",P
2508, sindalah the island looks like bart simpson being choked,N
2509," literally killing tribespeople

",0
2510, sindalah think i will move there because the uk  is well mmm i cant repeat it ,P
2511, sindalah will there be beheadings every friday or just on special occasions,0
2512, city of sheitan,N
2513, sindalah sounds shit,N
2514, good luck to the engineers and architects fleecing the saudi's in pursuit of this ludicrous vision put forward by mohammed bone saw,0
2515, sindalah burning up poseidon poster ,N
2516, sindalah more fool you funding your own prison they've built for you,0
2517, sindalah  yeah a glass prison for klaus swab and all his worthless globalist cabal mates thats where we're going to put them if they're lucky,0
2518, you are evil be part of  legend no thanks our legend is jesus blood of christ over you ,N
2519, yes ooo,P
2520,"  vaxxed and suppressed by the government
the future is near in every country",N
2521, sindalah can't you just go settle on another planet instead of further destroying earth,N
2522, i went to neom and got thrown off a roof for being gay,0
2523, sindalah where's the jail where you murder journalists mbs can suck a fat one,0
2524, sindalah are you going to spreading the wealth to the islanders,N
2525, sindalah this is the last island i will visit,N
2526, sindalah ratio,U
2527, sindalah to hell with your crappy island not interested,N
2528, my company opensleigh would love to visit here please dm us with potential sponsorships,P
2529, sindalah saudi arabia stones people to death for sex outside the marriage come bring your yacht there for your holiday hijinks,0
2530, sindalah didn't you guys build this by killing a bunch of local residents whose only crime was not wanting to be displaced by billionaires,0
2531, sindalah goofy ahh city ,N
2532, hellhole in the desert,N
2533, sindalah you support elon musk fascism that's why blacklisted,0
2534, sindalah so a classic island scam,N
2535, no satanic imagery whatsoever,0
2536, do i have to bring my own bone saw or are they provided,0
2537, sindalah looks amazing itll be under water soon,N
2538, very happy to see neom working positively ,P
2539," 

 a twitter/ama would be nice",U
2540, sindalah not interested,N
2541, sindalah more enabling of the rich to trash the planet #climateemergency,N
2542, to broadcast the executions of tribal land owners in the way of your project,0
2543, sindalah j km imwdq question,U
2544, sindalah i'd prefer to vacation in countries where people don't get beheaded for witchcraft but nice ad i guess,0
2545, sindalah is that michelle mone's yacht berthed in the harbour,0
2546," to give a little sideline to your intolerance slave labour and atrocious human rights
if it's built to the same quality of most middle eastern projects it'll start crumbling within months",0
2547," sindalah park your mega yacht between michele mone and an oligarch  as long as you are a rich bastard with no morals youll fit right in 
mirror sailor",0
2548, sindalah why build all that when people are talking about seas rising bull shit maybe just maybe you do not believe their bull shit,N
2549, all the way to the bank ,N
2550, sindalah asylum for russian oligarchs #russiaisaterroriststate,0
2551, you do realize neom is imaginary so it can have anything,N
2552, sindalah wow amazing,P
2553, sindalah real dystopia,N
2554," one more stunning project by  team
congrats for one more achievement",P
2555, wow selectronica pinpoint   #metaverse,U
2556, is it a free zone that any one can register a trading licenses as film services company,U
2557, sindalah i think this is awful people can't/don't look after the land we've got but it's ok to build an extra island for the ultra wealthy,N
2558, and the other projects of neom when will be ready i refer to exagon and line city ,N
2559, sindalah do you get free tickets to executions,0
2560, sindalah when it will be ready,U
2561, i suspect that will be a small amount of lost time compared to that spent trying to speak to a human being at most of our utility companies and government departments the english language lacks the vitriol to describe their service or the automated assistants,N
2562, technology is amazing,P
2563, it's vrry luuuv you intshes,P
2564,"  i browsed your website i didn't see any universities in your plan 

if you include universities neom can become a tech hub

universities  labs  art = new ideas and new tech",N
2565, anything that draws filmmakers away from the californian hive-mind is a good thing for the industry and for us who experience the result,U
2566, how many birds will die each year smashing into the line,N
2567, sindalah just saying that doesn't look appealing it looks more like an industrial area or a port is this a job advertisement not what i think of for luxury island,N
2568, and in said media village would the investors be free to produce their content let's say a documentary about the murder of khashoggi or about the war in jemen and bombing of school buses,0
2569, donald trump jiei you look like mine grany when she sits on the sun light,0
2570, sindalah hows the line working out for you decided to move on to the next investment scam huh,N
2571, is it true that the next movie in the saw franchise will be filming in neom,N
2572, sindalah finally something good happens for the yachting community,P
2573, sindalah so how many metres is this place above sea level better get in and enjoy it now while you can,U
2574, oxagon when the oil runs out  noone will settle in this place of the world,N
2575, are alcoholic drinks sold or available in neom,U
2576, sindalah can see this being the new improved hush hush epstein island,0
2577, sindalah does it have its own greenhouse facilities for crop cultivation,U
2578, follow this nifty account,P
2579, cleared link us to able to convince that maybe able to control limber from fall stat ten minutes at a time,U
2580, i direct projects related to ai and machine learning at a british university would be very interested in projects you may have to research on can someone get in touch,U
2581, sindalah i really dont think that i am your target audience ,N
2582, sindalah how did you solve the sewage problem,N
2583, bluejay stake user name   is his lucky number,U
2584," sindalah if the price of oil falls this project and possibly the economy is doomed

it's a high probability that the us is planning to flood the market with their own oil  they can export it to europe  africa trans-atlantic",N
2585, sindalah does it allow the unvaxxed,U
2586, sindalah looks awful,N
2587, sindalah ah ok i get it now,P
2588, sindalah welcome to the nwo,U
2589, sindalah would love to bring my family i'm guessing you will happily accept my brother in law and his husband or will i need to pack a suit of armour to stop them being murdered for being gay,0
2590, mr ed,U
2591, sindalah that looks like an ecological disaster ,N
2592, sindalah this is saudi you'd have to dig me up to get me there,0
2593, sindalah i can't imagine anywhere more full of pretentious bell ends with more money than sense the kind of whoppers that have just come back from a trip to space visiting the worst country on the entire planet kind of like leon skum type people ,N
2594, sindalah this is an abomination,N
2595," sindalah more like sin island 
another hiding place for the filthy rich",N
2596, sindalah will there be a wetherspoons,U
2597, sindalah youve seen the promo add  now for the reality ,N
2598, sindalah bought to you by the minds behind fyre frstival ,U
2599, sindalah looks hideous - yuk,N
2600, sindalah bet thats a cheap stay,N
2601," sindalah why does everything in the middle east have to luxury

when will you build for ordinary people",N
2602, sindalah more paradise lost,N
2603, wanna live there how,n
2604, misanthropy,N
2605, modern people attitude,U
2606, sindalah we think this whole thing is a bit silly literally the whole office thinks this whole thing is silly,N
2607, no thanks journalist murderers,0
2608, sindalah  fuck yes   #makeloveinherm ,U
2609, sindalah you should name it kashoggi island,0
2610, i imagine youll be applying strict censorship as per usual,0
2611, sindalah is this the place where the indigenous people were killed to get the land just asking,0
2612, sindalah will you put there e memorial for kashoggi too,0
2613, sindalah how did you solve the sewage problem,U
2614, sindalah another environmental disaster created for rich people,N
2615, sindalah brilliant cant wait to book no fucking nurses railway workers post men border forces going on strike sign me up sounds idyllic,0
2616, sindalah two words: bone saw,0
2617, sindalah if greg's has it all then so does that island ,N
2618, sindalah neom is a uk-based wellness brand,U
2619, sindalah so you couldn't do the line so another island,N
2620, sindalah justa question how does thisproject handle sewage let me guess cesspit and tankers,N
2621, sindalah would love to visit,P
2622, sindalah not a patch on burntisland,N
2623, impressive scam,N
2624, sindalah who exactly is your target market here,U
2625, sindalah if the whole neom project comes to anything more than an empty building site i will eat my shoes,N
2626, sindalah stop sponsoring this hate speech platform,N
2627, can i make a movie about jamal khashoggi here,0
2628, sindalah one big flood and your fkd,N
2629, sindalah let me guess this is for rich people,N
2630, there are a lot of private preserves in texas and they do a lot to help otherwise endangered species survive,N
2631, sindalah looks like butlins for millionaires no amount of money can buy individuality or class,N
2632, sindalah away from the peasants,N
2633, sindalah dall-e: hr giger painting of evil saudi city neom ,N
2634, fuck new world order,0
2635, sindalah is it possible to serve an alcohol,U
2636, amazing technology,N
2637, sindalah people who use their wealth for such things given how things are elsewhere in the world are morally bankrupt simpletons,N
2638, sindalah at first it looks nice but the voiceover and as the video goes along gives it really dodgy vibes lol,N
2639, sindalah no nature left everything living removed and replaced with concrete awful,N
2640, sindalah why the ever living fuck am i seeing a shit advert about a manufactured tourist resort attracting the kinds of people id rather shoot than have a beer with,N
2641, a pile of st,N
2642, sindalah looks beautiful,P
2643," sindalah the luxuries and enjoyment of this world is very temporary but the scientific and welfare legacy to humanity could last thousands
please  invest the wealth of the ummah wisely",N
2644, sindalah easter island statues in the red sea ,U
2645, sindalah shhh don't tell anyone it is in saudi,0
2646, sindalah this gives frye festival vibes ,U
2647," 

i am blocking your site on twitter because your advertising revenue is lining the pockets of musk the fascist",N
2648, this project is awesome mashaallah  i am so lucky as being a little part of it alhamdulillah ,P
2649, sindalah can i apply for sanctuary,U
2650, sindalah how many migrant workers are going to die through poor hs practices and living in horrendous conditions take a beautiful island and concrete over most of it,0
2651," sindalah lmfao perfectly located 
in the asshole of the world",N
2652, sindalah beautiful  ,P
2653, great efforts,N
2654, sindalah in the middle of islamic countries no thanx,0
2655, sindalah there is natural beauty already there won't be when you have concreted it over just stop,N
2656, sindalah how are the people you displaced to make this paradise,0
2657," sindalah no 
this is the last kind of thing the world needs now",N
2658, sindalah it's being built in a fantastic area but and it's a big but most westerners (who will most likely be your target market) have lifestyle needs a d wants which conflict with saudi arabia how will you address that (or will you not westerners as customers),N
2659, sindalah the world's largest prison,N
2660, sindalah also visit paradise on earth under occupation of new evil of axis ,0
2661, sindalah jg ballard would love this,P
2662, im enjoying the fact that neom seems to be just about the only entity willing to advertise on twitter these days,N
2663, sindalah i hope the environment and especially the marine environment will be at the forefront to preserve the paradise for generations to come,P
2664, sindalah improve your delivery service instead,N
2665, sindalah can't afford it  sign of the times ,N
2666, sindalah place will probably be crawling with russian oligarchs who are unwelcome elsewhere,0
2667, sindalah in your  mile long construction in the desert are you taking calculations to allow for the curvature of the earth with around a ft drop or will it be dead level over that distance,U
2668, anything else ,U
2669, sindalah looks like an absolute abomination,N
2670, sindalah looks awfully expensive,N
2671, sindalah best idea ever i too love the idea of a complete dystopia full of rich manchildren in a country where you'll be beheaded for dressing wrong or being a woman,0
2672, sindalah how many slaves will die during construction absolutely obscene misuse of limited resources in a world where people are starving to death homeless living in war zones or oppressed by barbaric outdated saudi regimes,0
2673, sindalah just needs dinosaurs ,U
2674, sindalah better not be gay or a woman though,0
2675," wer sagt das er cool ist ist uncool 

wenn man cool ist ist man einfach cool",N
2676, sindalah the perfect place for all the muslim refugees,0
2677, sindalah ahh more bullshit for the mega rich who dont care about human rights abuse,0
2678, sindalah this island belongs to yemen  you thiefs its completely against international law,0
2679, sindalah honestly thought this was a new callofduty map,N
2680, sindalah of all the things in the world you could do with that money you chose to do this its so depressing as is the fact that a huge number of people will think its fabulous how ethically bankrupt is the world,0
2681, sindalah if i were an asylum seeker this is where id head for sounds marvellous,0
2682, sindalah can anybody bomb thus island,N
2683, sindalah looos amzing beautiful,P
2684, whats the point of doing this  first develop the neom project,P
2685, sindalah we took a remote unspoiled island and we,N
2686," sindalah piers try being helpfull and more understanding 
i watched your show enough to realise you really are a nasty piece of s exactly what i was told
unless of course your ronaldo
how much did you suck up to him
up messimegan and harry",0
2687, sindalah the public stand behind you,P
2688, sindalah quick question will we be able to get a pint there,U
2689, sindalah wont be in the ordinary persons financial reach a private world is slowly being developed for the elite rich,N
2690, sindalah looks like somewhere rich people can spend their cash do they have bacon at breakfast and does the bar sell alcohol,N
2691, sindalah much is a pint ,U
2692, sindalah lol why even advertise this joke project to me,N
2693, sindalah go forth and multiply,N
2694, sindalah looks like a place to miss,N
2695, sindalah looks like a great oil-money-dictatorship-hell to live in,N
2696, sindalah  great place to get to in the depths of an english  winter ,P
2697, sindalah generic comment about shit human rights,N
2698, sindalah still getting that dystopian vibe where the rich go to see out the apocalypse while using enough resources for  times the people the workers all bused in from their shanty town,0
2699, sindalah so wrong in the current situation #climateemergency,N
2700, sindalah not a patch on weston-super-mare,N
2701, sindalah only the most rich and powerful will be able to afford to stay here we're just showing all you poor people how much fun they'll have,N
2702, sindalah and here's me thinking neom is a brand of scented candle and massage oils when in reality it's a holiday island yeah right,N
2703, sindalah is this the island hideaway for the next james bond villain,N
2704, sindalah wont these islands be under threat of disappearing because greta tells us were all doomed ,N
2705, sindalah it's amazing your royal family would rather waste money on a vanity project that will never work rather than invest it into your existing cities,N
2706," sindalah ffs shouldn't this be advertising 'go see this magical jewel before it is underwater due to the extra carbon admissions you've used to get here' 

you're welcome",N
2707, please help me never buy #poco  worst company ever my poco x pro was dead after update i was submit my phone at service center on th of november my phone is not repaired or replaced yet #boycottpoco,U
2708, sindalah why does this give me fyre festival vibes,U
2709, sindalah tabuk province kingdom of saudi arabia,U
2710, sindalah what about here instead chewzyhughes ,U
2711, sindalah all that going on and yemen is poverty stricken just around the corner,0
2712, sindalah doesnt look very in-keeping with the environment what are you doing to conserve nature - if at all,N
2713, sindalah is their a graveyard you can visit to see the abundant wildlife displaced by ego and greed,N
2714, sindalah sounds awful,N
2715, sindalah well i am the hero of my own story even in the bathroom what's new,U
2716, sindalah reminds me of the island with ewan mcgregor you know the one where they're prisoners and bodies are harvested,N
2717, sindalah no thanks a lot of us prefer not to endorse murderous autocrats and their environmentally-moribund vanity projects,N
2718, sindalah utter madness,N
2719, sindalah opulence for rich criminal oligarchs and the like,N
2720," sindalah for those who don't understand what this video is about let me break it down for vou
see more",U
2721, sindalah another unnatural island full of rich people in a world where islands are being lost by global warming,N
2722, sindalah im thinking of taking my wife and daughters there will they be allowed to drive golf carts and speed boats without fear of being arrested flogged or beheaded,0
2723, sindalah all reserved for the rich again i'm sure,N
2724, sindalah building paradise refuges for the super rich for when the collapse of civilisation occurs,N
2725, sindalah another place for the reality show cretins to show us all how much money they have but at the same time how contemptuous and selfish too  if i had money id be buggered if id go there they resent us  no women no gays no booze no chance,N
2726, sindalah pretty,P
2727, sindalah looks horrible,N
2728, sindalah how much for a week in half term ,u
2729, sindalah do they sell beer at the resort,U
2730, sindalah so the lif golf tour has been sequestered into a man made island looks like the billions spent on defecting golfers didn't work out that well did it,N
2731, sindalah i'd rather shit in my hands and clap,N
2732, sindalah a fantasy island full of plastic people surrounded by dying coral reefs - no thanks,N
2733, sindalah another island like epstein had for the few to laugh at the many hope it sinks ,N
2734, sindalah only for rich people ,N
2735," sindalah a place for the rich while saudi also builds 'the line' - which will be for the plebs 
the line will be a hellhole of people living on top of one another in a glorified prison with no escape and were people can easily be manipulated and controlled by those in charge",0
2736, sindalah meanwhile next door #climateemergency #noshame  ,N
2737, sindalah all ethically sourced materials ,P
2738, sindalah perfect for murderers like #mbs #mohammedbinsalman  #jamalkhashoggi mofksa ksamofaen saudigazette saudiembassyuk sauditourism,0
2739, sindalah the looks nice and sterile what will you be hung for there though being gay being a woman,0
2740, sindalah need to go here x,P
2741, the animals look beautiful  always good to re-wild an area,P
2742, sindalah built by slaves and paid for with blood,0
2743, a story to live,P
2744, sindalah couldn't give even half a monkey's toss ,N
2745, sindalah it will all be under water before they can reap any profits,N
2746, sindalah white lotus vibes,U
2747, sindalah a modern day #atlantis,N
2748, sindalah wow looks beautiful,P
2749, sindalah too hot mate,N
2750, sindalah paradise awaits ,P
2751, sindalah another unsustainable environmental disaster waiting to happen the water required will be by burning fossil fuel to desalinate billions of gallons of water to run air conditioning and all because bone saw man wants to compete with dubai (another environmental disaster),N
2752, sindalah looks amazing,P
2753, bone saw and acid bath in every room  complimentary stoning for your girlfreind on arrival,0
2754, sindalah would be wonderful but way out of my price range,N
2755, sindalah great location to be pillaged by somali pirates,N
2756," respected sir
with due respect i would like bring to your kind information that the contractors sub-contractors working for the project aren't giving regularly salaries to workers
have the responsible executives viewed on this
saudigazette mojksaen saudimol spaeng",0
2757, sindalah smart cities the future of corporate control no thanks,N
2758, sindalah #neom  so you too can feel like a super vilain ,0
2759, sindalah and if your a woman a stoning instead of a massage,0
2760, sindalah non natural islands  not a big fan to be honest,N
2761, sindalah manc rats ,N
2762, sindalah caucasians only yeah,N
2763, why does this city use a pentagram in its logo isn't it a satanic symbol ,N
2764, sindalah a luxury resort for millionaires and social media influencers the world really really needs more of those,N
2765, aaaaaaaaaaahhhhhhhhhhhhhhhhh tabasco in my pussy hurt helpp,U
2766, looks cool,P
2767, sindalah im flattered twitter ads algo thinks this is for me ,N
2768, sindalah wow read the room,N
2769, sindalah acid baths in every apartment,0
2770, sindalah aye and how many emissions  human rights is this one gunna cost ,0
2771, sindalah good bars  pubs,U
2772, where is this,U
2773, sindalah just so you're aware i am now blocking any adverts or promoted tweets that appear in my timeline due to elonmusk's stance on disinformation and hate speech,N
2774," are you basically making a new babylon as in the hanging gardens of

a peaceful eco-friendly paradise",P
2775, sindalah looks fucking repugnant,N
2776, sindalah in some languages neom means non-/inhuman just sayin',N
2777," sindalah what a colossal waste of money and complete hubris
such vast amounts of money could green the sahel provide clean water and sanitation for hundreds of millions and education for children
shameful god will judge you ",N
2778, sindalah you forgot to mention its in saudi arabia,0
2779, sindalah what does one do for employment in  ,U
2780, sindalah will my girlfriend be stoned to death for wearing a bikini on the beach,0
2781, sindalah mmm  bring your own kill team and bone saws,0
2782," sindalah is it possible to get  there 
asking for a friend",U
2783, it a fascinating concept i'll have my business degree in  and really want to work on this project,P
2784, sindalah gives me that black mirror kind of vibethe adverts theyll be playing us in our smart prisonits probably virtualtotal recall style ,N
2785, sindalah in saudi that beacon of human rights no thanks,0
2786," hey got an idea for a movie 
an indipendent journalist gets kidnapped tortured and killed in an embassy his body is then cut in pieces the protagonist will have to uncover the political ties that lead to a powerful individual and held him accountable  
anyone interested",0
2787, sindalah use that money to better the life of your people oh wait you only care about dumb mega projects for tourism,N
2788, your regime murders journalists that criticize them so,0
2789, this is the height of unsustainable folly and its fate is certain ,N
2790, it starts like this then ends up like blade runner,N
2791," you killed a tribal landowner you have put  more on death row because you couldnt figure out a way to include them in your project and decided to remove them by force instead now youre telling us youre virtuous rewilders 

 ",0
2792,  logans run,N
2793, sindalah horrible i'll take even the crappiest of all greek islands over this monstrosity,N
2794, how many died building it,0
2795, very beautiful,P
2796, mxhnxzz please,U
2797, sindalah two words: bone saw,0
2798, amazing project,P
2799, free assange,0
2800, sindalah looks shit,N
2801, what is the main source of powergeothermal or solar i am assuming that most folks who dont have at least a few million in the bank wont be allowed to travel here unless they are being used for trophy hunting or used as blood bags,U
2802, scam,N
2803, awesome congratulations,P
2804, here's to the future,P
2805, sorry i like studios that arent owned by religious zealots our enemies or those that kill and dismember journalists,0
2806, chicken or beef,U
2807, do they have turquoise  vacuum cleaners,U
2808, sindalah palace of anti-christ ,N
2809, sindalah excellent info for nature lovers in all modernity and lavishness all around ,P
2810, i am very happy millions of congratulations to you neom,P
2811, sindalah oceans of opportunity ,P
2812, looks awful thanks for sharing,N
2813, does neom have slaves too,0
2814, saudi blood money,0
2815, sindalah hi i lost the link for the media and film production city who do we contact if we would like to set up our film production city,U
2816," the bgm for this video was good 
you guys do great marketing with good videos",P
2817, fnk stop interrupting my feed that's twice just today piss off,N
2818," saudi arabia

i'm just going to leave this here alright ",0
2819, it would be handy if you told us where you are which region you purport to serve,U
2820, sindalah i think you have mistaken me for a #bankster,N
2821, dont waste your money on this fascist platform,N
2822," i have no idea who you are or what you are selling but if you advertise here i am not buying
i am a free speech absolutism and my speech is to block and ignore you happy trails",N
2823, good,P
2824, how many people have you killed so far,0
2825, people can make documentaries there about saudi tribal people being displaced and executed,0
2826," they want everyone to live in constant fear 
and some will its obvious when you look around ",0
2827, the m stands for middle earth,N
2828, i'm blocking your account you know why,N
2829," so

about khashoggi",0
2830, sindalah rolling in with my local yachting community ,P
2831, utter shite customer service,N
2832, sindalah which corner is my residence at #kingsalman  ready to fly from india,0
2833, sindalah they can still sold the box to put this in care and a boss to put this box plus the device box into too,U
2834, do you offer th birthday party packages,U
2835, will akchurin houses be built in neom,U
2836," sindalah two words (hyphenated): 

bone-saw",0
2837, love this project,P
2838, is mystery babylon read jeremiah :,P
2839, on another planet or where,U
2840, sindalah such a high tech city should have the best payment system of the world #bitcoin,P
2841, rbalsaud sindalah  million of ummah of haathamun nabi in abject povertyif we invest on themthey would create trillions of  wealth but we wasting the wealth allah azwajal allowing to flow overnight alwaleedtalal china economically empowered whopping  billion peasants within few decades,N
2842, working in media services more then  years in gulf and africa and middle east,U
2843, do the world class facilities include free bone saws,0
2844, sindalah some much mythological iconology how does that go in saudi arabia i don't think this will be on any saudi billboards/magazines etc,0
2845, sindalah scam,N
2846, sindalah how much ad-space did you buy jesus,N
2847, beautiful,P
2848, say christ is king,N
2849, sindalah everything that is wrong with this world the so called elite,N
2850, i have a many ideas for television program  how i can do for realize that can you help me than you,U
2851, thanks,P
2852, sindalah neom continues to unearth more of its secrets,P
2853, sigh i wish ,P
2854, sindalah goll,P
2855, best wishes for business growth,P
2856," thanks for the update
may allah swt forgive us all  guide us to quran",P
2857, sindalah good morning,U
2858, i really want to applaud the team for this though i really dont understand it but i like the purple lights,P
2859, are you going to behead people there too,0
2860," suddenly hearing a lot about #neom in the last week
never heard of it before
bonkers idea and seems unlikely to  come to fruition
certainly not in my lifetime
however slave labour can get shit done but why would you want to live in a saudi regime",N
2861, yes but what about jamal khashoggi,0
2862, planning any nude beaches,U
2863, sindalah do you support nazism racism and homophobia why are you advertising here youre blocked,0
2864, my question  where is america in all this time for drastic change is here,0
2865, but i like gay and trans people and human rights so no thanks,0
2866, for any openings whom shall be reach for technical roles,U
2867, waiting for rebate seems fraying is not good,N
2868, you paid to promote this tweet on a nazi-dominated platform  is this what you want your brand to represent ,N
2869, sindalah so there is where the reapers go,N
2870, sindalah yayy yayy ,P
2871, sindalah gorgeous l really mean that  ,P
2872, the idea of the line reminds me of the  scifi logan's run for some reason they don't want people to have babies they want to control all aspects of our lives like livestock,N
2873, sindalah im interested in your little club however ive never met jeffrey epstein dont know bill gates or klaus schwab and neither do i have any experience or desire to have underage sex with trafficked kids will i be eligible,0
2874, sindalah is this just for wef members or can anyone apply and can i fly there in my own personal jet or do i have to take one of my yachts,U
2875, sindalah for the mega rich who are syphoning off the wealth of the masses for their own pleasure hope those yachts will be zero carbon or is it just us minions who have to give up everything to save the world,N
2876, sindalah so we already downscaling from d dystopian city to kinda futuristic rich resort island,N
2877, good,P
2878, great to see this owenmostyn jeremyvineon schwarzenegger,0
2879, now i see who they are built the city called 'the line' wouldn't use them if they paid me,N
2880, what kind of new world order nonsense is this,N
2881," sindalah how about no you murderous thugs

",0
